city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Delhi,28.66,77.23,India,IN,Delhi,admin,29617000,16753235
Mumbai,18.9667,72.8333,India,IN,Mahārāshtra,admin,23355000,12478447
Kolkata,22.5411,88.3378,India,IN,West Bengal,admin,17560000,4496694
Bangalore,12.9699,77.598,India,IN,Karnātaka,admin,13707000,8443675
Chennai,13.0825,80.275,India,IN,Tamil Nādu,admin,11324000,6727000
Hyderabad,17.3667,78.4667,India,IN,Telangana,admin,9746000,6993262
Pune,18.5196,73.8553,India,IN,Mahārāshtra,,7764000,3124458
Ahmedabad,23.03,72.58,India,IN,Gujarāt,minor,7410000,5570585
Sūrat,21.17,72.83,India,IN,Gujarāt,,5807000,4466826
Lucknow,26.847,80.947,India,IN,Uttar Pradesh,admin,3382000,3382000
Jaipur,26.9167,75.8667,India,IN,Rājasthān,admin,3073350,3073350
Cawnpore,26.4725,80.3311,India,IN,Uttar Pradesh,,2701324,2701324
Mirzāpur,25.15,82.58,India,IN,Uttar Pradesh,,2496970,2496970
Nāgpur,21.1539,79.0831,India,IN,Mahārāshtra,,2405665,2405665
Ghāziābād,28.6667,77.4167,India,IN,Uttar Pradesh,,2381452,2381452
Indore,22.7206,75.8472,India,IN,Madhya Pradesh,,2201927,2201927
Vadodara,22.3,73.2,India,IN,Gujarāt,,2065771,2065771
Vishākhapatnam,17.7333,83.3167,India,IN,Andhra Pradesh,,2035922,2035922
Bhopal,23.25,77.4167,India,IN,Madhya Pradesh,admin,1883381,1883381
Chinchvad,18.6278,73.8131,India,IN,Mahārāshtra,,1729320,1729320
Patna,25.61,85.1414,India,IN,Bihār,admin,1684222,1684222
Ludhiāna,30.9083,75.8486,India,IN,Punjab,,1649000,1545368
Āgra,27.18,78.02,India,IN,Uttar Pradesh,,1585705,1585705
Kalyān,19.2502,73.1602,India,IN,Mahārāshtra,,1576614,1576614
Madurai,9.9197,78.1194,India,IN,Tamil Nādu,minor,1561129,1561129
